sku,old_external_product_id,new_external_product_id,classification,ecl_id,old_mapping_status
mk980,694795439,698933442,A_UPDATE_REPLACE_OLD_ID,037b8673-4178-44eb-b060-e994889a4e2d,active
mk974,694795446,698933443,A_UPDATE_REPLACE_OLD_ID,d6c2c4c5-b599-4c59-bcea-33cb99aee749,active
mk2146,mk2146,698933444,A_UPDATE_REPLACE_OLD_ID,f9bd0fd4-1fa1-4d9b-bf04-0390cbc4c329,active
mk971,694795449,698933445,A_UPDATE_REPLACE_OLD_ID,83f6d204-720a-423a-a37e-e16b611fb4bf,active
mk969,mk969,698933446,A_UPDATE_REPLACE_OLD_ID,f0369ddc-59b1-4ab5-8cde-bd2f3bf2ef91,active
mk1526,691301007,698933447,A_UPDATE_REPLACE_OLD_ID,b8db6432-c831-4cab-8757-1b2f2b094260,active
mk1635,691301020,698933448,A_UPDATE_REPLACE_OLD_ID,da8addf6-7315-4f61-ae8a-77099e219dd5,active
mk1643,691301028,698933449,A_UPDATE_REPLACE_OLD_ID,82551900-4be0-4839-914f-2e36a88ddc9c,active
mk1633,691301018,698933450,A_UPDATE_REPLACE_OLD_ID,11291465-6994-4816-8b20-6e7d4ff52139,active
mk970,694795445,698933451,A_UPDATE_REPLACE_OLD_ID,e8fe27ae-a38d-4ebf-999f-253f2f75de9a,active
mk1638,691301023,698933452,A_UPDATE_REPLACE_OLD_ID,51434463-1685-4153-b300-2732979b506e,active
mk1641,691301026,698933453,A_UPDATE_REPLACE_OLD_ID,a4fedb2a-2ca4-4981-8ccd-cafb6fc49acd,active
mk1634,691301019,698933455,A_UPDATE_REPLACE_OLD_ID,813b4c3b-0ac3-4c3d-8d4e-4beb807da7dc,active
mk1642,691301027,698933456,A_UPDATE_REPLACE_OLD_ID,b078369c-9b2e-43f7-b097-0b05d2eaca53,active
mk1525,691301006,698933457,A_UPDATE_REPLACE_OLD_ID,c714ab74-84a2-4db6-a28b-313c2cd846e7,active
mk978,694795441,698933458,A_UPDATE_REPLACE_OLD_ID,68d715c4-f3cb-40bf-bc72-f38e7b246412,active
mk968,mk968,698933461,A_UPDATE_REPLACE_OLD_ID,8d6e989f-7811-4c96-bfdd-970cc2ab6d48,active
mk973,694795447,698933463,A_UPDATE_REPLACE_OLD_ID,9919c2a9-c952-42a3-b13a-636e4989c4db,active
mk981,694795438,698933465,A_UPDATE_REPLACE_OLD_ID,e54df484-5811-4083-bf9f-cffbcf3ab655,active
mk1644,691301029,698933466,A_UPDATE_REPLACE_OLD_ID,cfe4a14a-24f6-4cde-9b74-901f87508a71,active
mk1639,691301024,698933467,A_UPDATE_REPLACE_OLD_ID,0f3574db-7729-482a-a390-db88269a872d,active
mk1640,mk1640,698933468,A_UPDATE_REPLACE_OLD_ID,c44d38c4-8034-4632-8427-5a1943a0f401,active
mk1156,mk1156,698933469,A_UPDATE_REPLACE_OLD_ID,c7905acd-5275-41f8-9395-bbc39c9fd866,active
mk1505,691300566,698933470,A_UPDATE_REPLACE_OLD_ID,dcd02f79-f10d-4b1d-b3ad-02bc6b279379,active
mk2306,,698933471,C_INSERT_NO_EXISTING_ROW,,
mk1764,mk1764,698933472,A_UPDATE_REPLACE_OLD_ID,92958373-db40-4714-ac67-9afa9b07298f,active
mk1909,mk1909,698933473,A_UPDATE_REPLACE_OLD_ID,6cd5ef67-1a02-40dd-9a33-fa383b6c20f4,active
mk1002,694795243,698933474,A_UPDATE_REPLACE_OLD_ID,6ba0ba1a-871e-41d7-856d-ae22a1976edf,active
mk2239,,698933475,C_INSERT_NO_EXISTING_ROW,,
mk1439,mk1439,698933476,A_UPDATE_REPLACE_OLD_ID,0d357a94-14a4-4a62-bec2-2f4d4de605ce,active
mk1036,694188094,698933477,A_UPDATE_REPLACE_OLD_ID,56c18edd-22ce-4f2b-ab9e-e0b0df115159,active
mk1441,mk1441,698933478,A_UPDATE_REPLACE_OLD_ID,f895eef9-3d4a-4f30-ad6b-2f6c94214aa2,active
mk1897,691300471,698933479,A_UPDATE_REPLACE_OLD_ID,82c5ce61-246a-4482-83b5-a1ab219f32da,active
mk2245,,698933480,C_INSERT_NO_EXISTING_ROW,,
